entity,type,desires,fears
information seekers,Market participants,To push the market towards efficiency by increasing aggregate demand and converging the price to the fundamental value of the stock; To gain profits by trading shares based on accurate and timely information; To optimize strategies based on informed party's actions; To have access to accurate and relevant information for making informed decisions; To enhance market efficiency by revealing true value of the stock; To accurately infer market dynamics and make profitable trades; To push the price up to a level where the informed party is willing to sell; To have access to relevant information that can help in making informed trading decisions; To buy shares at a low price and sell them at a higher price later on; To maximize profits by choosing demand based on market conditions; To obtain accurate and valuable information to make informed decisions in the market; Access to truthful and relevant information for investment decisions,"Not being able to extract rents due to competition with other information seekers, leading to a suboptimal outcome; Being outcompeted by the informed party or manipulator; Being misled or deceived by manipulators, leading to loss of investments; Deviation from optimal strategies leading to lower profits; Being misled by false information or rumors; Reducing market efficiency, increasing likelihood of successful manipulation, and being uncertain about the purchaser of shares; Being misled by manipulators and making unprofitable trades; Being unable to profit from arbitrage due to lack of information; Lack of information or misleading information that can lead to poor investment choices; Market manipulation driving them away and making the market inefficient; Being misled by manipulated prices and suffering losses; Purchasing shares at a high price and having to hold them until the stock price may be lower; To be misled or manipulated by false or incomplete information; Being misled by the informed party or other market participants; Being misled by the releaser of information or manipulator, resulting in making poor investment choices"
Listed Companies,Companies,"To comply with governance standards, have independent directors, and issue annual reports for transparency","Risk of manipulation, failure to meet regulatory requirements, and loss of shareholder trust"
Stock price,Concept,To accurately reflect the true value of the underlying assets; To reflect the true value of the stock; Stable and increasing prices for long-term growth; To reflect accurate market value and be influenced by retail trades in the short term; Continuous increase in stock price,"Being artificially inflated or deflated by manipulative actions; Extreme fluctuations due to retail investor imbalances, leading to potential overvaluation or undervaluation; Significant decrease in stock price"
Aggregate individual investor buying,Investor behavior,To positively influence stock returns and market performance,Negative impact on stock returns or market performance resulting from collective actions
Small Capitalization Stocks,Financial Assets,To have heavy buying from retail investors and positive contemporaneous returns,To face heavy selling by retail investors and negative contemporaneous returns
Informed Party,Market participant,To sell shares at a profitable price based on superior information; Maximize profits by buying and selling shares at the right times; Enter the market when future stock value is high; Sustain pooling equilibrium and receive high value for the firm; Make profitable trades based on information advantage; Buy shares at a low price and sell them at a higher price before time 3; Have accurate information about future stock value,Not sell shares at an optimal price due to competition; Unable to commit to holding shares until time 3; Competition reducing information rents; Not profitably deviate from equilibrium strategy; Enter the market when the future stock value is low; Fail to pool with manipulator and receive low value; Identified as a manipulator and losing money; Incur cost of waiting until time 3 to sell shares; Holding shares until time 3 when stock price may be lower; Not make a profit due to market conditions or manipulation; Misled by false information or missing important information
Overconfidence,Behavioral bias,To believe in the accuracy of one's judgments and decisions,Realizing that one's confidence was misplaced and led to negative outcomes
Psychological heuristics and biases,Behavioral factors,To make informed and rational investment decisions,"Making irrational decisions based on biases, leading to financial losses or missed opportunities"
Insider Trading,Concept,To have clear regulations and enforcement mechanisms to deter and punish illegal insider trading activities.,"Facing legal repercussions and public backlash for engaging in insider trading, damaging reputation and credibility."
Foreign Exchange Market,Concept,To have efficient and transparent trading mechanisms that prevent manipulation and speculative noise trading.,"Experiencing high volatility and price distortions due to manipulation and speculative activities, resulting in market instability."
Limited attention,Constraint on investors' decision-making process,To focus on relevant information and make informed investment choices,Missing out on crucial details or overlooking important factors that could impact investment outcomes
Securities and Exchange Commission,Entity,"To regulate and oversee financial markets effectively, ensuring fair trading practices and investor protection; To maintain fair and orderly markets by detecting and prosecuting manipulative activities","Failing to detect and prevent market manipulation, leading to loss of confidence in the regulatory body and financial markets; Not being able to effectively enforce regulations and prevent market manipulation"
Anticipated regret,Emotional response to potential losses,To avoid decisions that could result in regret or disappointment,Facing regret for inaction or making incorrect investment choices
Rumors,Concept,To have accurate and timely information dissemination to prevent false rumors from impacting market behavior.,"Being the subject of false rumors that can manipulate market prices and distort trading activities, leading to financial losses."
Manipulated Market,Concept,To operate without interference or manipulation in order to maintain market integrity and fairness. To have a large number of active traders and high volume to maximize returns during manipulation,"Being exposed and facing legal consequences, leading to loss of credibility and trust from investors. Low trading volume and limited participation from information seekers, which can reduce the effectiveness of manipulation"
"Factors (SMB, VMG, WML)",Concept,To have coefficients that positively contribute to portfolio returns,To have coefficients that negatively impact portfolio returns
Stocks heavily sold by individuals,Concept,To outperform the market and generate positive returns,To underperform the market and experience negative returns
Herding Measure,Analytical Tool,"To identify patterns of correlated trading behavior among individual investors; To have a mean of zero, indicating independent small trades","To provide inaccurate or misleading results that do not reflect actual market dynamics; To have a non-zero mean, indicating coordinated trading and lack of independence"
Trades,Actors,To be accurately identified as buyer or seller initiated; To make profitable trades and manipulate stock prices in their favor,Being misidentified or not being classified correctly; Being caught and facing legal consequences for market manipulation
Widespread Decimalization and Computerized Trading Algorithms,Market Changes,To improve efficiency and accuracy in trading,Undermining the ability to identify trades initiated by individuals or institutions
Large Trades,Trading activity,To predict market movements accurately and earn strong returns; To accurately represent institutional trades; To predict future stock returns accurately; To have a positive herding measure to indicate successful trading strategies; To execute trades efficiently without revealing too much information; To execute market manipulation trading strategies successfully and generate positive real wealth; To see stocks they recently sold perform well; To buy stocks that earn substantial returns,"To have little or no predictive power on market movements and earn poor returns; Being incorrectly categorized and misrepresenting institutional trading behavior; Underperforming in the subsequent weeks after the trade; To have a negative herding measure, indicating lack of success or underperformance; Being unable to hide their informational advantage and facing negative price impact; Facing scrutiny or regulation that limits their ability to manipulate prices; To see stocks they recently bought perform poorly; To sell stocks that result in substantial losses"
Seller-initiated trades,Concept,To see prices move down; To accurately reflect the selling behavior in the market,To see prices move up; Being misinterpreted or not reflecting the true selling activity
Individuals,Group,Persistent preferences in executing trades,Losing control over their preferences
NYSE/AMEX and NASDAQ Stocks,Financial Assets,To be traded efficiently and fairly; To have a high volume of trades and maintain liquidity in the market,"Being subject to trading rules that may not accurately reflect market dynamics; Experiencing low trading activity, facing market manipulation, or losing credibility"
Institutions,Group,Efficient execution of trades; To make profitable trades and earn high returns; To sell overvalued stocks and maximize profits,Inefficiency in executing trades; Large trade spreads negatively impacting their trades and returns; Missing mispricings and holding onto undervalued stocks
Large trades,Trading activity,To predict market movements accurately and earn strong returns; To accurately represent institutional trades; To predict future stock returns accurately; To have a positive herding measure to indicate successful trading strategies; To execute trades efficiently without revealing too much information; To execute market manipulation trading strategies successfully and generate positive real wealth; To see stocks they recently sold perform well; To buy stocks that earn substantial returns,"To have little or no predictive power on market movements and earn poor returns; Being incorrectly categorized and misrepresenting institutional trading behavior; Underperforming in the subsequent weeks after the trade; To have a negative herding measure, indicating lack of success or underperformance; Being unable to hide their informational advantage and facing negative price impact; Facing scrutiny or regulation that limits their ability to manipulate prices; To see stocks they recently bought perform poorly; To sell stocks that result in substantial losses"
Herding measure,Analytical Tool,"To identify patterns of correlated trading behavior among individual investors; To have a mean of zero, indicating independent small trades","To provide inaccurate or misleading results that do not reflect actual market dynamics; To have a non-zero mean, indicating coordinated trading and lack of independence"
Trade Size Bins,Concept,Accurately identify trades initiated by individual investors and institutions based on trade size,Inaccurately categorizing trades and misrepresenting the behavior of individual investors and institutions
Seller-Initiated Trades,Concept,To see prices move down; To accurately reflect the selling behavior in the market,To see prices move up; Being misinterpreted or not reflecting the true selling activity
Small investors,Investors,To have an impact on cross-sectional returns through their trades,Being influenced by the trading behaviors of extremely wealthy individuals who do not file 13Fs
Limit orders,Trading method,To control the exact execution price of trades; To execute trades at specified prices or better,"Potential trades not being executed due to price restrictions; Not being executed due to market conditions, price fluctuations, or order prioritization"
Small traders,Investors,To earn high returns on their stock portfolios; To make profitable trades and earn high returns; To see stocks they recently bought perform well; To buy stocks that result in profitable returns; To have a positive herding measure to indicate successful trading strategies; To execute trades profitably and potentially signal market sentiment; To be buyer initiated for small firms to have consistent positive returns at a daily and monthly horizon; To be a reliable proxy for individual investor trades; Prices to rise when individual investors buy,"Earning low or negative returns on their stock portfolios; Making losses or holding onto overvalued stocks; To see stocks they recently sold perform poorly; To sell stocks that result in significant losses; To have a negative herding measure, indicating lack of success or underperformance; Being overshadowed by larger trades and facing price impact; To be seller initiated for small firms to have negative returns at a daily and monthly horizon; Being misinterpreted or not accurately representing individual investor behavior; Prices to fall when individual investors buy"
Individual Investors,Market participants,"To buy stocks that earn strong returns and sell stocks that earn poor returns; To make profitable trades and earn returns on their investments; To influence prices in their favor by coordinated buying, leading to strong returns; To profit in the short run by supplying liquidity to institutional investors and benefiting from price reversals; To beat the market and earn higher returns; To earn positive returns through buying stocks with significant rece; To make profitable trades and increase their wealth; To make profitable trades and have high returns on investments; To earn positive returns on their investments; To make profitable trades and generate a return on their investments.; To make profitable trades and maximize returns on investments","Making trades that result in poor returns and missing out on profitable opportunities; To make unprofitable trades; Losing money through trading and underperforming in stock investments; Poor returns if heavily selling stocks, as identified by price moves; Prices not bouncing back as expected, losing money in trades; To underperform the market and earn lower returns; To observe negative returns in months with a high proportion of buyer-initiated small trades; Making poor investment decisions and losing money; Making losses on their trades and not achieving their financial goals.; Making losses, missing out on investment opportunities, or being misled by market trends"
stocks,Financial assets,"To increase in value and provide returns to investors; To have stable and positive returns, high trading and option volumes, and reasonable implied volatility; Strong results in 2020; To be traded in a fair and efficient market; To have stable and justified prices based on fundamentals; To be bought at a high price and increase in value; To have positive returns in the subsequent week; To experience strong returns leading up to the ranking day; To have high returns and be heavily bought by individual investors; To soar in price and increase in value","To decrease in value and result in financial losses for investors; To be influenced by inaccurate sentiment analysis, leading to volatile and unpredictable market behavior; High volatility and negative sentiment impacting their value; Underperformance or negative outcomes; Being manipulated as 'penny stocks' with low trading volume and market capitalization; Underperforming and losing value over time; Prices being influenced by coordinated trading, leading to unjustified levels; Being heavily sold by both small traders and institutions, leading to low returns; To have negative returns in the subsequent week; To have poor returns prior to the ranking day; To have low returns and be heavily sold by individual investors; To plummet in price and decrease in value"
Market orders,Trading Strategy,To reflect investor sentiment accurately and provide valuable information for decision-making; To execute trades quickly at the current market price; To execute trades immediately at the best available market price,"To be influenced by the activities of others and not accurately represent investor sentiment; Potential lack of control over the exact execution price; Facing price slippage, high volatility, or manipulation in the market"
large retail broker,financial institution,To provide full-service brokerage to a large number of investors and generate profits from trading commissions.,Facing competition from discount brokers and regulatory changes affecting their business model.
large discount broker,financial institution,To attract more individual investors to trade through their platform and increase their market share.,Losing customers to competitors and facing regulatory challenges.
institutional trades,trading activity,To execute large trades efficiently and without impacting the market.,Revealing their trading strategies to competitors and experiencing adverse price movements due to their trades.
"NYSE, AMEX, and NASDAQ",Financial Assets,To have a high volume of trades and maintain liquidity in the market; To be traded efficiently and fairly,"Experiencing low trading activity, facing market manipulation, or losing credibility; Being subject to trading rules that may not accurately reflect market dynamics"
Market prices,Market indicators,To reflect fundamental value accurately,Being distorted by individual investor trades and not reverting back to fundamental value
limit orders,Trading method,To control the exact execution price of trades; To execute trades at specified prices or better,"Potential trades not being executed due to price restrictions; Not being executed due to market conditions, price fluctuations, or order prioritization"
Small Trades,Investors,To have a positive herding measure indicating successful trading strategies; execute profitable trades and signal market sentiment; be buyer initiated for small firms to have consistent positive returns; be a reliable proxy for individual investor trades; see prices rise when buying stocks; earn high returns on their stock portfolios; make profitable trades and buy stocks that result in profitable returns,To have a negative herding measure indicating lack of success; be overshadowed by larger trades and face price impact; be seller initiated for small firms to have negative returns; be misinterpreted or not accurately represent individual investor behavior; see prices fall when buying stocks; earn low or negative returns on stock portfolios; make losses or hold onto overvalued stocks; see stocks recently sold perform poorly; sell stocks resulting in significant losses
Equally weighted portfolios,Investment strategy,To reflect the returns of small stocks influenced by individual investors,To underperform value-weighted portfolios
Firm Size,Characteristic,"Positive market-adjusted returns for small, medium, and big firms; To be positively correlated with price impacts","Negative market-adjusted returns for small, medium, and big firms; To be negatively correlated with price impacts"
Market inefficiencies,Concept,Efficient pricing and quick correction of mispricings; To quickly reflect all available information in stock prices,Prolonged periods of mispricings leading to losses; Being manipulated by colluding parties to profit at the expense of information seekers
Small trades,Investors,To have a positive herding measure to indicate successful trading strategies; To execute trades profitably and potentially signal market sentiment; To be buyer initiated for small firms to have consistent positive returns at a daily and monthly horizon; To be a reliable proxy for individual investor trades; Prices to rise when individual investors buy; To earn high returns on their stock portfolios; To make profitable trades and earn high returns; To see stocks they recently bought perform well; To buy stocks that result in profitable returns,"To have a negative herding measure, indicating lack of success or underperformance; Being overshadowed by larger trades and facing price impact; To be seller initiated for small firms to have negative returns at a daily and monthly horizon; Being misinterpreted or not accurately representing individual investor behavior; Prices to fall when individual investors buy; Earning low or negative returns on their stock portfolios; Making losses or holding onto overvalued stocks; To see stocks they recently sold perform poorly; To sell stocks that result in significant losses"
Four-factor model,Financial analysis tool,"To explain return spreads based on market, size, book-to-market ratio, and momentum factors",To have little explanatory power for return spreads
investor sentiment theory,Concept,"To accurately predict market trends and movements based on investor sentiment, increase stock returns through positive sentiment, and have asset prices reflect underlying fundamentals while being less affected by implied volatility and option volumes.","Being invalidated by empirical data, failing to explain market anomalies or losing relevance, making irrational decisions influenced by herd behavior, decrease in stock returns due to negative sentiment, asset prices deviating from fundamentals, and being influenced by spillover effects from option metrics on stock returns and trading volumes."
Market Liquidity,Market Condition,Sufficient trading volume and liquidity for smooth market operations,Potential liquidity issues caused by retail investor imbalances or institutional selling
Small Stocks,Financial Assets,To have prices influenced by retail trades to increase liquidity and market activity,Experiencing excessive volatility or price manipulation due to retail trades
Individual investor order imbalance,Investor behavior,To have a positive relationship with abnormal trading volume,To have a negative impact on subsequent returns
Idiosyncratic risk,Risk factor,To be positively correlated with price impacts,To be negatively correlated with price impacts
Large firms,Firms,To have positive returns when individuals are net sellers; To have lower price impacts and be easier to arbitrage,To have negative returns when individuals are net sellers; To have higher price impacts and be difficult to arbitrage
Four-factor alphas,Financial metric,"To have positive values, indicating outperformance","To have negative values, indicating underperformance"
individual investors,Market participants,"To buy stocks that earn strong returns and sell stocks that earn poor returns; To make profitable trades and earn returns on their investments; To influence prices in their favor by coordinated buying, leading to strong returns; To profit in the short run by supplying liquidity to institutional investors and benefiting from price reversals; To beat the market and earn higher returns; To make profitable trades and increase their wealth; To earn positive returns through buying stocks with significant rece; To make profitable trades and maximize returns on investments","Making trades that result in poor returns and missing out on profitable opportunities; Losing money through trading and underperforming in stock investments; Prices not bouncing back as expected, losing money in trades; To underperform the market and earn lower returns; Making poor investment decisions and losing money; Not being able to profit or losing money on their investments; Making losses on their trades and not achieving their financial goals."
Firm size,Characteristic,"Positive market-adjusted returns for small, medium, and big firms; To be positively correlated with price impacts","Negative market-adjusted returns for small, medium, and big firms; To be negatively correlated with price impacts"
Stock Prices,Concept,To reflect the true value of the underlying assets; Stable and increasing prices for long-term growth; To accurately reflect accurate market value and be influenced by retail trades in the short term; To reflect the true value of the stock,"Being artificially inflated or deflated by manipulation; Extreme fluctuations due to retail investor imbalances, leading to potential overvaluation or undervaluation; Being artificially inflated or deflated by retail trades, leading to subsequent reversals in the long term; Being artificially inflated or deflated by manipulative actions"
individual investor,Market participants,"To make profitable trades and maximize returns on investments; To buy stocks that earn strong returns and sell stocks that earn poor returns; To influence prices in their favor by coordinated buying, leading to strong returns; To profit in the short run by supplying liquidity to institutional investors and benefiting from price reversals; To beat the market and earn higher returns; To earn positive returns through buying stocks with significant rece; To make profitable trades and increase their wealth; To earn positive returns on their investments; To make profitable trades and generate a return on their investments.","Making losses, missing out on investment opportunities, or being misled by market trends; Making trades that result in poor returns and missing out on profitable opportunities; Losing money through trading and underperforming in stock investments; Poor returns if heavily selling stocks, as identified by price moves; Prices not bouncing back as expected, losing money in trades; To underperform the market and earn lower returns; To observe negative returns in months with a high proportion of buyer-initiated small trades; Making poor investment decisions and losing money; To make losses, experience market volatility, or have their trades negatively impacted by external factors; Not being able to profit or losing money on their investments; Making losses on their trades and not achieving their financial goals."
Medium and large firms,Business entities,To have consistent returns during the ranking year based on order imbalance,To not earn returns consistent with the direction of trades
Assets,Financial instruments,To be priced at their fundamental values,Being overpriced or underpriced due to irrational trading behavior
Risk-averse traders,Market participants,To minimize risk in their investment decisions,Being unable to prevent assets from becoming overpriced or underpriced due to irrational trading behavior
